Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,24232.5767,,,,,,,,,
2013,25024.6220,,,,,,,,,
2014,25958.9132,,,,,,,,,
2015,26844.6867,,,,,,,,,
2016,27744.5686,,,,,,,,,
2017,28657.8378,,,,,,,,,
2018,29583.7731,,,,,,,,,
2019,30521.6532,,,,,,,,,
2020,31633.0299,,,,,,,,,
2021,32430.3631,,,,,,,,,
2022,33399.7505,,,,,,,,,
2023,34378.1978,,,,,,,,,
2024,35364.9839,,,,,,,,,
2025,36384.7440,,,,,,,,,
2026,37360.6874,,,,,,,,,
2027,38368.1625,,,,,,,,,
2028,39381.0915,,,,,,,,,
2029,40398.7531,,,,,,,,,
2030,41224.3799,,,,,,,,,
2031,42445.3895,,,,,,,,,
2032,43472.9219,,,,,,,,,
2033,44502.3021,,,,,,,,,
2034,45532.8088,,,,,,,,,
2035,46549.0070,,,,,,,,,
2036,47594.3173,,,,,,,,,
2037,48623.8765,,,,,,,,,
2038,49651.6775,,,,,,,,,
2039,50676.9990,,,,,,,,,
2040,51731.9495,,,,,,,,,
2041,52717.3187,,,,,,,,,
2042,53730.8744,,,,,,,,,
2043,54739.0657,,,,,,,,,
2044,55741.1715,,,,,,,,,
2045,56867.4895,,,,,,,,,
2046,57724.2415,,,,,,,,,
2047,58703.7633,,,,,,,,,
2048,59674.3146,,,,,,,,,
2049,60635.1743,,,,,,,,,
2050,61508.2507,,,,,,,,,
2051,62524.9338,,,,,,,,,
2052,63452.3912,,,,,,,,,
2053,64367.2721,,,,,,,,,
2054,65268.8553,,,,,,,,,
2055,66156.4195,,,,,,,,,
2056,67029.2435,,,,,,,,,
2057,67886.6061,,,,,,,,,
2058,68727.7861,,,,,,,,,
2059,69552.0624,,,,,,,,,
2060,70358.7135,,,,,,,,,
