Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,23654.7118,,,,,,,,,
2013,24437.6516,,,,,,,,,
2014,25306.7264,,,,,,,,,
2015,25890.4775,,,,,,,,,
2016,26951.3475,,,,,,,,,
2017,27796.2731,,,,,,,,,
2018,28657.7392,,,,,,,,,
2019,29536.6531,,,,,,,,,
2020,30851.8341,,,,,,,,,
2021,31351.0619,,,,,,,,,
2022,32289.2128,,,,,,,,,
2023,33249.8949,,,,,,,,,
2024,34234.6191,,,,,,,,,
2025,35424.0357,,,,,,,,,
2026,36282.0504,,,,,,,,,
2027,37347.4929,,,,,,,,,
2028,38442.6361,,,,,,,,,
2029,39568.9292,,,,,,,,,
2030,40916.9857,,,,,,,,,
2031,41920.7570,,,,,,,,,
2032,43149.1694,,,,,,,,,
2033,44414.5509,,,,,,,,,
2034,45718.4112,,,,,,,,,
2035,46772.0420,,,,,,,,,
2036,48447.5315,,,,,,,,,
2037,49875.7033,,,,,,,,,
2038,51348.2755,,,,,,,,,
2039,52866.7705,,,,,,,,,
2040,54259.9286,,,,,,,,,
2041,56047.4979,,,,,,,,,
2042,57712.6215,,,,,,,,,
2043,59429.4154,,,,,,,,,
2044,61199.1890,,,,,,,,,
2045,63073.2856,,,,,,,,,
2046,64902.9793,,,,,,,,,
2047,66839.7337,,,,,,,,,
2048,68834.8524,,,,,,,,,
2049,70889.6538,,,,,,,,,
2050,73077.5565,,,,,,,,,
2051,75183.5824,,,,,,,,,
2052,77425.3712,,,,,,,,,
2053,79731.9058,,,,,,,,,
2054,82104.1861,,,,,,,,,
2055,84543.2844,,,,,,,,,
2056,87050.4360,,,,,,,,,
2057,89627.0274,,,,,,,,,
2058,92274.4726,,,,,,,,,
2059,94994.2719,,,,,,,,,
2060,97787.9417,,,,,,,,,
